Species,Name,Family,Habitat,Length (cm),Trophic Level,Status,Lake
Labidochromis mylodon,,Cichlidae,benthopelagic,9.0 TL,2.7,endemic,Malawi
Labidochromis pallidus,,Cichlidae,benthopelagic,6.7 SL,2.7,endemic,Malawi
Labidochromis shiranus,,Cichlidae,benthopelagic,7.8 SL,2.7,endemic,Malawi
Labidochromis strigatus,,Cichlidae,benthopelagic,6.9 SL,2.7,endemic,Malawi
Labidochromis textilis,,Cichlidae,benthopelagic,7.7 SL,2.7,endemic,Malawi
Labidochromis vellicans,,Cichlidae,benthopelagic,6.7 SL,2,endemic,Malawi
Labidochromis zebroides,,Cichlidae,benthopelagic,8.5 TL,2.7,endemic,Malawi
Lethrinops albus,,Cichlidae,demersal,16.5 TL,3.2,endemic,Malawi
Lethrinops altus,,Cichlidae,demersal,15.8 TL,3.5,endemic,Malawi
Lethrinops argenteus,,Cichlidae,demersal,19.0 TL,3.2,endemic,Malawi
Lethrinops atrilabris,,Cichlidae,benthopelagic,7.3 SL,3.1,endemic,Malawi
Lethrinops auritus,Golden sand-eater,Cichlidae,demersal,14.0 TL,3,endemic,Malawi
Lethrinops christyi,,Cichlidae,demersal,18.3 TL,3.2,endemic,Malawi
Lethrinops furcifer,Greenface sandsifter,Cichlidae,demersal,19.5 TL,3.2,endemic,Malawi
Lethrinops gossei,,Cichlidae,demersal,14.4 SL,3.2,endemic,Malawi
Lethrinops leptodon,,Cichlidae,demersal,20.0 TL,3.2,endemic,Malawi
Lethrinops lethrinus,,Cichlidae,demersal,20.0 TL,3.5,endemic,Malawi
Lethrinops longimanus,,Cichlidae,demersal,15.3 SL,3.2,endemic,Malawi
Lethrinops longipinnis,,Cichlidae,demersal,16.0 SL,3.3,endemic,Malawi
Lethrinops lunaris,,Cichlidae,benthopelagic,18.6 TL,3.2,endemic,Malawi
Lethrinops macracanthus,,Cichlidae,demersal,20.0 TL,2.8,endemic,Malawi
