Genus,Species,Family,Habitat,Length (cm),measurement,Trophic Level,Status,Lake,Continent
Pseudotanganikallabes,prognatha,Clariidae,demersal,6,SL,3.2,endemic,Tanganyika,Africa
Tanganikallabes,alboperca,Clariidae,benthopelagic,16.1,SL,3.4,endemic,Tanganyika,Africa
Tanganikallabes,mortiauxi,Clariidae,demersal,32.5,TL,3.4,endemic,Tanganyika,Africa
Tanganikallabes,stewarti,Clariidae,benthopelagic,15.5,SL,3.4,endemic,Tanganyika,Africa
Auchenoglanis,occidentalis,Claroteidae,demersal,70,SL,2.9,native,Tanganyika,Africa
Bathybagrus,grandis,Claroteidae,demersal,63,TL,4.5,native,Tanganyika,Africa
Bathybagrus,graueri,Claroteidae,demersal,36,TL,4.3,endemic,Tanganyika,Africa
Bathybagrus,platycephalus,Claroteidae,demersal,22,TL,3.8,native,Tanganyika,Africa
Bathybagrus,sianenna,Claroteidae,demersal,23,SL,3.7,native,Tanganyika,Africa
Bathybagrus,stappersii,Claroteidae,demersal,45,SL,3.3,native,Tanganyika,Africa
Bathybagrus,tetranema,Claroteidae,demersal,17,SL,3.8,native,Tanganyika,Africa
Chrysichthys,acsiorum,Claroteidae,demersal,24.3,SL,3.3,endemic,Tanganyika,Africa
Chrysichthys,brachynema,Claroteidae,demersal,77,TL,3.9,endemic,Tanganyika,Africa
Chrysichthys,cranchii,Claroteidae,demersal,150,TL,3.4,questionable,Tanganyika,Africa
Chrysichthys,mabusi,Claroteidae,demersal,41,SL,3.3,questionable,Tanganyika,Africa
Lophiobagrus,aquilus,Claroteidae,demersal,8,TL,3.2,endemic,Tanganyika,Africa
Lophiobagrus,asperispinis,Claroteidae,demersal,3.4,TL,3.1,endemic,Tanganyika,Africa
Lophiobagrus,brevispinis,Claroteidae,demersal,5.1,TL,3.2,native,Tanganyika,Africa
Lophiobagrus,cyclurus,Claroteidae,demersal,8,SL,3.3,endemic,Tanganyika,Africa
Phyllonemus,brichardi,Claroteidae,demersal,7.8,SL,3.3,endemic,Tanganyika,Africa
Phyllonemus,filinemus,Claroteidae,demersal,8.7,TL,3.3,native,Tanganyika,Africa
Phyllonemus,typus,Claroteidae,demersal,8.8,TL,4,endemic,Tanganyika,Africa
Acapoeta,tanganicae,Cyprinidae,benthopelagic,61,TL,2,native,Tanganyika,Africa
Clypeobarbus,pleuropholis,Cyprinidae,benthopelagic,3.3,SL,3,questionable,Tanganyika,Africa
Enteromius,apleurogramma,Cyprinidae,benthopelagic,5.4,SL,2.9,native,Tanganyika,Africa
Enteromius,eutaenia,Cyprinidae,benthopelagic,14,SL,3.2,native,Tanganyika,Africa
Enteromius,kerstenii,Cyprinidae,benthopelagic,9,SL,3,native,Tanganyika,Africa
Enteromius,lineomaculatus,Cyprinidae,benthopelagic,8.6,SL,3,native,Tanganyika,Africa
Enteromius,lufukiensis,Cyprinidae,benthopelagic,11,TL,3,native,Tanganyika,Africa
Enteromius,miolepis,Cyprinidae,benthopelagic,12.5,SL,3,native,Tanganyika,Africa
Enteromius,neumayeri,Cyprinidae,benthopelagic,11.8,SL,3,native,Tanganyika,Africa
Enteromius,oligogrammus,Cyprinidae,benthopelagic,8.2,TL,3,native,Tanganyika,Africa
Enteromius,pellegrini,Cyprinidae,benthopelagic,11.7,SL,3,native,Tanganyika,Africa
Enteromius,taeniopleura,Cyprinidae,benthopelagic,9,TL,3,native,Tanganyika,Africa
Enteromius,urostigma,Cyprinidae,benthopelagic,12,TL,3,native,Tanganyika,Africa
Labeo,congoro,Cyprinidae,benthopelagic,41.5,SL,2.2,native,Tanganyika,Africa
