Species,Name,Family,Habitat,Length (cm),Trophic Level,Status,Lake
Haplochromis megalops,,Cichlidae,benthopelagic,8.1 SL,3.3,endemic,Victoria
Haplochromis melanopterus,,Cichlidae,benthopelagic,12.7 SL,4,endemic,Victoria
Haplochromis melanopus,,Cichlidae,benthopelagic,10.0 TL,3.3,native,Victoria
Haplochromis melichrous,,Cichlidae,benthopelagic,10.7 SL,3.4,endemic,Victoria
Haplochromis mento,,Cichlidae,benthopelagic,17.8 SL,4.2,endemic,Victoria
Haplochromis michaeli,,Cichlidae,benthopelagic,14.5 SL,4.2,endemic,Victoria
Haplochromis microdon,,Cichlidae,benthopelagic,14.8 SL,4,endemic,Victoria
Haplochromis mylergates,,Cichlidae,benthopelagic,13.7 SL,3.4,endemic,Victoria
Haplochromis nanoserranus,,Cichlidae,benthopelagic,7.6 SL,3.8,endemic,Victoria
Haplochromis nigrescens,,Cichlidae,benthopelagic,11.5 TL,4.2,endemic,Victoria
Haplochromis nigricans,,Cichlidae,benthopelagic,9.4 SL,2.2,native,Victoria
Haplochromis niloticus,,Cichlidae,benthopelagic,10.2 SL,3.3,endemic,Victoria
Haplochromis nubilus,Blue Victoria mouthbrooder,Cichlidae,benthopelagic,9.3 SL,3.3,native,Victoria
Haplochromis nuchisquamulatus,,Cichlidae,benthopelagic,11.3 SL,2,native,Victoria
Haplochromis nyanzae,,Cichlidae,benthopelagic,17.1 SL,4.2,endemic,Victoria
Haplochromis nyererei,,Cichlidae,benthopelagic,7.7 SL,2.6,native,Victoria
Haplochromis obesus,,Cichlidae,benthopelagic,17.0 SL,4,native,Victoria
Haplochromis obliquidens,,Cichlidae,benthopelagic,8.9 SL,2,native,Victoria
Haplochromis obtusidens,,Cichlidae,benthopelagic,11.4 SL,3.1,endemic,Victoria
Haplochromis oligolepis,,Cichlidae,benthopelagic,8.3 SL,3.3,endemic,Victoria
Haplochromis omnicaeruleus,,Cichlidae,demersal,11.9 SL,2,native,Victoria
Haplochromis pachycephalus,,Cichlidae,benthopelagic,23.2 SL,4.2,endemic,Victoria
Haplochromis pallidus,,Cichlidae,benthopelagic,7.4 SL,2.6,endemic,Victoria
Haplochromis pancitrinus,,Cichlidae,benthopelagic,8.6 SL,3.3,endemic,Victoria
Haplochromis paraguiarti,,Cichlidae,benthopelagic,15.6 SL,3.2,endemic,Victoria
Haplochromis paraplagiostoma,,Cichlidae,benthopelagic,9.8 SL,3.3,endemic,Victoria
Haplochromis paropius,,Cichlidae,benthopelagic,8.7 SL,2.3,endemic,Victoria
Haplochromis parorthostoma,,Cichlidae,benthopelagic,11.7 SL,3.4,endemic,Victoria
Haplochromis parvidens,,Cichlidae,benthopelagic,16.3 SL,4,endemic,Victoria
Haplochromis pellegrini,,Cichlidae,benthopelagic,10.4 SL,3.5,endemic,Victoria
Haplochromis percoides,,Cichlidae,benthopelagic,9.3 SL,4.2,endemic,Victoria
Haplochromis perrieri,,Cichlidae,benthopelagic,6.0 SL,4.2,endemic,Victoria
Haplochromis pharyngomylus,,Cichlidae,benthopelagic,12.6 SL,3.2,endemic,Victoria
Haplochromis phytophagus,,Cichlidae,benthopelagic,8.6 SL,2,endemic,Victoria
Haplochromis piceatus,,Cichlidae,benthopelagic,9.0 SL,3.3,endemic,Victoria
Haplochromis pitmani,,Cichlidae,benthopelagic,5.5 TL,4.2,endemic,Victoria
Haplochromis plagiodon,,Cichlidae,benthopelagic,8.5 SL,3.2,native,Victoria
Haplochromis plagiostoma,,Cichlidae,benthopelagic,14.7 SL,4.4,native,Victoria
Haplochromis plutonius,,Cichlidae,benthopelagic,9.6 SL,3.6,native,Victoria
Haplochromis prodromus,,Cichlidae,benthopelagic,13.0 SL,3.4,native,Victoria
Haplochromis prognathus,,Cichlidae,benthopelagic,14.1 SL,3.1,native,Victoria
Haplochromis pseudopellegrini,,Cichlidae,benthopelagic,15.0 SL,4.2,native,Victoria
Haplochromis ptistes,,Cichlidae,benthopelagic,10.6 SL,3.6,native,Victoria
Haplochromis pundamilia,,Cichlidae,demersal,12.4 SL,3.7,native,Victoria
Haplochromis pyrrhocephalus,,Cichlidae,benthopelagic,7.3 SL,3.3,native,Victoria
Haplochromis pyrrhopteryx,,Cichlidae,benthopelagic,19.7 SL,4.1,endemic,Victoria
Haplochromis retrodens,,Cichlidae,benthopelagic,14.4 SL,3.3,native,Victoria
Haplochromis riponianus,,Cichlidae,benthopelagic,10.4 SL,3.2,native,Victoria
Haplochromis rubripinnis,,Cichlidae,pelagic,10.4 SL,3.3,native,Victoria
Haplochromis rufocaudalis,,Cichlidae,demersal,10.0 SL,2,native,Victoria
Haplochromis rufus,,Cichlidae,demersal,8.6 SL,3.3,native,Victoria
Haplochromis sauvagei,,Cichlidae,benthopelagic,10.5 SL,2.7,native,Victoria
Haplochromis saxicola,,Cichlidae,benthopelagic,12.3 SL,3.4,native,Victoria
Haplochromis serranus,,Cichlidae,benthopelagic,20.5 SL,4.2,native,Victoria
Haplochromis simotes,,Cichlidae,demersal,8.7 SL,3.3,native,Victoria
Haplochromis spekii,,Cichlidae,benthopelagic,22.0 SL,4.2,native,Victoria
Haplochromis sphex,,Cichlidae,benthopelagic,8.2 SL,3.3,endemic,Victoria
Haplochromis squamipinnis,,Cichlidae,benthopelagic,20.2 SL,3.2,introduced,Victoria
Haplochromis squamulatus,,Cichlidae,benthopelagic,19.8 SL,4.2,native,Victoria
Haplochromis sulphureus,,Cichlidae,benthopelagic,10.9 SL,3.3,native,Victoria
Haplochromis tanaos,,Cichlidae,benthopelagic,7.7 SL,3.3,endemic,Victoria
Haplochromis teegelaari,,Cichlidae,benthopelagic,10.1 SL,3.1,native,Victoria
Haplochromis teunisrasi,,Cichlidae,benthopelagic,9.6 SL,3.3,native,Victoria
Haplochromis theliodon,,Cichlidae,benthopelagic,9.5 SL,3.2,native,Victoria
Haplochromis thereuterion,,Cichlidae,benthopelagic,8.2 SL,3.3,endemic,Victoria
Haplochromis thuragnathus,,Cichlidae,benthopelagic,20.0 SL,4.2,native,Victoria
Haplochromis tridens,,Cichlidae,benthopelagic,11.9 SL,2.8,native,Victoria
