Genus,Species,Family,Habitat,Length (cm),measurement,Trophic Level,Status,Lake,Continent,Fertilization
Brycinus,kingsleyae,Alestidae,pelagic,16.6,SL,3.1,questionable,Tanganyika,Africa,
Brycinus,rhodopleura,Alestidae,pelagic,30,SL,3.2,native,Tanganyika,Africa,
Brycinus,jacksonii,Alestidae,pelagic,27,SL,3.2,native,Victoria,Africa,
Brycinus,macrolepidotus,Alestidae,pelagic,53,SL,2.8,questionable,Victoria,Africa,
Brycinus,nurse,Alestidae,pelagic,25,TL,2.5,misidentification,Victoria,Africa,
Brycinus,sadleri,Alestidae,pelagic,13.8,TL,3.2,native,Victoria,Africa,
Brycinus,imberi,Alestidae,demersal,19.8,TL,3.3,native,Malawi,Africa,
Brycinus,ferox,Alestidae,pelagic,8.1,SL,3.1,endemic,Turkana,Africa,
Brycinus,macrolepidotus,Alestidae,pelagic,53,SL,2.8,native,Turkana,Africa,
Brycinus,minutus,Alestidae,pelagic,3.3,SL,3,endemic,Turkana,Africa,
Brycinus,nurse,Alestidae,pelagic,25,TL,2.5,native,Turkana,Africa,
Brycinus,macrolepidotus,Alestidae,pelagic,53,SL,2.8,native,Albert,Africa,
Brycinus,nurse,Alestidae,pelagic,25,TL,2.5,native,Albert,Africa,
Bryconaethiops,boulengeri,Alestidae,pelagic,25,TL,3.2,questionable,Tanganyika,Africa,
Bryconaethiops,microstoma,Alestidae,pelagic,17.2,SL,3.2,error,Kivu,Africa,
Buccochromis,atritaeniatus,Cichlidae,benthopelagic,28,TL,4.2,endemic,Malawi,Africa,external
Buccochromis,heterotaenia,Cichlidae,benthopelagic,40,TL,4.2,endemic,Malawi,Africa,
Buccochromis,lepturus,Cichlidae,benthopelagic,41.7,TL,4.2,endemic,Malawi,Africa,
Buccochromis,nototaenia,Cichlidae,benthopelagic,23,TL,4,endemic,Malawi,Africa,
Buccochromis,oculatus,Cichlidae,benthopelagic,28,TL,4.1,endemic,Malawi,Africa,
Buccochromis,rhoadesii,Cichlidae,benthopelagic,34.1,TL,4.2,endemic,Malawi,Africa,
Buccochromis,spectabilis,Cichlidae,benthopelagic,25.6,TL,4.1,endemic,Malawi,Africa,
Callochromis,macrops,Cichlidae,benthopelagic,13.5,TL,3.5,endemic,Tanganyika,Africa,
Callochromis,melanostigma,Cichlidae,benthopelagic,15,TL,3.5,endemic,Tanganyika,Africa,
Callochromis,pleurospilus,Cichlidae,benthopelagic,10,TL,3.5,endemic,Tanganyika,Africa,
Campostoma,anomalum,Leuciscidae,benthopelagic,22,TL,2,native,Great Lakes,North America,
Caprichromis,liemi,Cichlidae,benthopelagic,19.1,SL,4,endemic,Malawi,Africa,
Caprichromis,orthognathus,Cichlidae,benthopelagic,19.5,TL,4,endemic,Malawi,Africa,
Cardiopharynx,schoutedeni,Cichlidae,pelagic,15,TL,3.4,endemic,Tanganyika,Africa,
Carpiodes,cyprinus,Catostomidae,demersal,66,TL,2.6,native,Great Lakes,North America,
Catostomus,catostomus,Catostomidae,demersal,64,TL,2.5,native,Great Lakes,North America,
Chalinochromis,brichardi,Cichlidae,benthopelagic,12,TL,3.5,endemic,Tanganyika,Africa,
Chalinochromis,cyanophleps,Cichlidae,benthopelagic,12.9,SL,3.5,endemic,Tanganyika,Africa,
Chalinochromis,popelini,Cichlidae,benthopelagic,15,TL,3.5,endemic,Tanganyika,Africa,
Champsochromis,caeruleus,Cichlidae,benthopelagic,32.2,TL,4.2,endemic,Malawi,Africa,
Champsochromis,spilorhynchus,Cichlidae,benthopelagic,30,TL,4.2,endemic,Malawi,Africa,
Cheilochromis,euchilus,Cichlidae,benthopelagic,35,TL,3.2,endemic,Malawi,Africa,
Chelaethiops,congicus,Danionidae,benthopelagic,11,TL,3.3,native,Tanganyika,Africa,
Chelaethiops,minutus,Danionidae,benthopelagic,11,SL,3.3,endemic,Tanganyika,Africa,
Chelaethiops,bibie,Danionidae,demersal,5.5,TL,2.3,native,Turkana,Africa,
Chiloglanis,asymetricaudalis,Mochokidae,benthopelagic,7.6,SL,2.6,native,Tanganyika,Africa,
Chiloglanis,kalambo,Mochokidae,benthopelagic,4.4,TL,3.1,endemic,Tanganyika,Africa,
Chiloglanis,kazumbei,Mochokidae,benthopelagic,5.4,SL,3.2,native,Tanganyika,Africa,
Chiloglanis,lukugae,Mochokidae,benthopelagic,9,SL,3.2,questionable,Tanganyika,Africa,
Chiloglanis,micropogon,Mochokidae,benthopelagic,4.9,TL,3.1,native,Tanganyika,Africa,
Chiloglanis,pojeri,Mochokidae,benthopelagic,7,TL,3.2,native,Tanganyika,Africa,
Chiloglanis,productus,Mochokidae,benthopelagic,4.9,SL,3.1,endemic,Tanganyika,Africa,
Chiloglanis,somereni,Mochokidae,benthopelagic,10,SL,3.2,native,Victoria,Africa,
Chiloglanis,neumanni,Mochokidae,benthopelagic,6.5,SL,2.8,native,Malawi,Africa,
Chiloglanis,kerioensis,Mochokidae,benthopelagic,4,SL,3.1,endemic,Turkana,Africa,
Chilotilapia,rhoadesii,Cichlidae,benthopelagic,22.5,TL,3.4,native,Malawi,Africa,
Chindongo,ater,Cichlidae,benthopelagic,8.1,SL,2.4,endemic,Malawi,Africa,
Chindongo,bellicosus,Cichlidae,benthopelagic,9.3,SL,2.5,endemic,Malawi,Africa,
Chindongo,cyaneus,Cichlidae,demersal,7.8,SL,2.7,endemic,Malawi,Africa,
Chindongo,demasoni,Cichlidae,demersal,6.3,SL,2.6,endemic,Malawi,Africa,
Chindongo,elongatus,Cichlidae,demersal,9.5,SL,2.5,endemic,Malawi,Africa,
Chindongo,flavus,Cichlidae,demersal,7.6,SL,3.4,endemic,Malawi,Africa,
Chindongo,heteropictus,Cichlidae,demersal,8.6,SL,2.7,endemic,Malawi,Africa,
Chindongo,longior,Cichlidae,demersal,8.7,SL,2,endemic,Malawi,Africa,
Chindongo,minutus,Cichlidae,demersal,6.6,SL,2,endemic,Malawi,Africa,
Chindongo,saulosi,Cichlidae,demersal,8.6,TL,2.6,endemic,Malawi,Africa,
Chindongo,socolofi,Cichlidae,demersal,6.7,SL,2.6,endemic,Malawi,Africa,
Chrosomus,eos,Leuciscidae,demersal,8,TL,2.5,native,Great Lakes,North America,
Chrosomus,erythrogaster,Leuciscidae,demersal,9.1,TL,2.5,native,Great Lakes,North America,
Chrosomus,neogaeus,Leuciscidae,demersal,11,TL,2.4,native,Great Lakes,North America,
Chrysichthys,acsiorum,Claroteidae,demersal,24.3,SL,3.3,endemic,Tanganyika,Africa,
Chrysichthys,brachynema,Claroteidae,demersal,77,TL,3.9,endemic,Tanganyika,Africa,
Chrysichthys,cranchii,Claroteidae,demersal,150,TL,3.4,questionable,Tanganyika,Africa,
Chrysichthys,mabusi,Claroteidae,demersal,41,SL,3.3,questionable,Tanganyika,Africa,
Chrysichthys,auratus,Claroteidae,demersal,57,TL,3.7,misidentification,Turkana,Africa,
Chrysichthys,turkana,Claroteidae,demersal,9.3,SL,3.2,endemic,Turkana,Africa,
Citharinus,gibbosus,Citharinidae,pelagic,61,TL,2.2,native,Tanganyika,Africa,
Citharinus,citharus,Citharinidae,demersal,58,SL,2,native,Turkana,Africa,
Citharinus,citharus,Citharinidae,demersal,58,SL,2,native,Albert,Africa,
Clariallabes,petricola,Clariidae,demersal,8.5,SL,3.5,native,Victoria,Africa,
Clarias,alluaudi,Clariidae,demersal,23,TL,3.2,native,Tanganyika,Africa,
Clarias,dhonti,Clariidae,demersal,18.5,TL,3.3,native,Tanganyika,Africa,
Clarias,gariepinus,Clariidae,benthopelagic,170,TL,3.8,native,Tanganyika,Africa,
Clarias,liocephalus,Clariidae,demersal,32,TL,3.3,native,Tanganyika,Africa,
Clarias,theodorae,Clariidae,demersal,35,SL,3.5,native,Tanganyika,Africa,
Clarias,werneri,Clariidae,demersal,23,TL,3.1,native,Tanganyika,Africa,
Clarias,alluaudi,Clariidae,demersal,23,TL,3.2,native,Victoria,Africa,
Clarias,gariepinus,Clariidae,benthopelagic,170,TL,3.8,native,Victoria,Africa,external
Clarias,liocephalus,Clariidae,demersal,32,TL,3.3,native,Victoria,Africa,
Clarias,werneri,Clariidae,demersal,23,TL,3.1,native,Victoria,Africa,
Clarias,gariepinus,Clariidae,benthopelagic,170,TL,3.8,native,Malawi,Africa,external
Clarias,liocephalus,Clariidae,demersal,32,TL,3.3,native,Malawi,Africa,
Clarias,ngamensis,Clariidae,demersal,73,TL,4.3,native,Malawi,Africa,
Clarias,theodorae,Clariidae,demersal,35,SL,3.5,native,Malawi,Africa,
Clarias,gariepinus,Clariidae,benthopelagic,170,TL,3.8,native,Kivu,Africa,external
Clarias,liocephalus,Clariidae,demersal,32,TL,3.3,native,Kivu,Africa,
Clarias,gariepinus,Clariidae,benthopelagic,170,TL,3.8,native,Turkana,Africa,
Clarias,alluaudi,Clariidae,demersal,23,TL,3.2,native,Edward,Africa,
Clarias,gariepinus,Clariidae,benthopelagic,170,TL,3.8,native,Edward,Africa,external
Clarias,liocephalus,Clariidae,demersal,32,TL,3.3,native,Edward,Africa,
Clarias,werneri,Clariidae,demersal,23,TL,3.1,misidentification,Edward,Africa,
Clinostomus,elongatus,Leuciscidae,demersal,12,TL,3.2,native,Great Lakes,North America,
Clypeobarbus,pleuropholis,Cyprinidae,benthopelagic,3.3,SL,3,questionable,Tanganyika,Africa,
Clypeobarbus,pleuropholis,Cyprinidae,benthopelagic,3.3,SL,3,error,Victoria,Africa,
Congoglanis,alula,Amphiliidae,demersal,14.1,SL,3.1,native,Tanganyika,Africa,
Copadichromis,atripinnis,Cichlidae,pelagic,10.3,SL,3.3,native,Malawi,Africa,
Copadichromis,azureus,Cichlidae,benthopelagic,14.6,TL,3.4,endemic,Malawi,Africa,
Copadichromis,borleyi,Cichlidae,benthopelagic,14,TL,3.4,endemic,Malawi,Africa,
Copadichromis,chizumuluensis,Cichlidae,benthopelagic,10.6,SL,3.3,endemic,Malawi,Africa,
Copadichromis,chrysonotus,Cichlidae,benthopelagic,16.3,TL,3.4,native,Malawi,Africa,
Copadichromis,cyaneus,Cichlidae,benthopelagic,19,TL,3.4,endemic,Malawi,Africa,
Copadichromis,cyanocephalus,Cichlidae,benthopelagic,9,SL,3.3,endemic,Malawi,Africa,
Copadichromis,diplostigma,Cichlidae,benthopelagic,11.2,SL,3.4,endemic,Malawi,Africa,
Copadichromis,geertsi,Cichlidae,benthopelagic,12.8,SL,3.4,endemic,Malawi,Africa,
Copadichromis,ilesi,Cichlidae,benthopelagic,11.4,SL,3.4,endemic,Malawi,Africa,
Copadichromis,insularis,Cichlidae,benthopelagic,11,SL,3.3,endemic,Malawi,Africa,
Copadichromis,jacksoni,Cichlidae,benthopelagic,18.3,TL,3.4,endemic,Malawi,Africa,
Copadichromis,likomae,Cichlidae,benthopelagic,14,TL,3.4,endemic,Malawi,Africa,
Copadichromis,mbenjii,Cichlidae,benthopelagic,14,TL,3.4,endemic,Malawi,Africa,in mouth
Copadichromis,melas,Cichlidae,demersal,8.9,SL,3.3,endemic,Malawi,Africa,
Copadichromis,mloto,Cichlidae,benthopelagic,13.5,TL,3.3,endemic,Malawi,Africa,
Copadichromis,nkatae,Cichlidae,benthopelagic,14.5,TL,2.8,endemic,Malawi,Africa,
Copadichromis,parvus,Cichlidae,benthopelagic,9.6,SL,3.3,endemic,Malawi,Africa,
Copadichromis,pleurostigma,Cichlidae,benthopelagic,19.5,TL,3.4,endemic,Malawi,Africa,
Copadichromis,pleurostigmoides,Cichlidae,benthopelagic,16,TL,3.4,endemic,Malawi,Africa,
Copadichromis,quadrimaculatus,Cichlidae,benthopelagic,20,TL,2.6,endemic,Malawi,Africa,
Copadichromis,trewavasae,Cichlidae,benthopelagic,10.5,SL,3.3,endemic,Malawi,Africa,
Copadichromis,trimaculatus,Cichlidae,benthopelagic,19.6,TL,3.4,endemic,Malawi,Africa,
Copadichromis,verduyni,Cichlidae,benthopelagic,11,TL,3.3,endemic,Malawi,Africa,
Copadichromis,virginalis,Cichlidae,demersal,13.2,TL,3,endemic,Malawi,Africa,
